Date,Open,High,Low,Close,Volume
2023-01-02,1.0705,1.0720,1.0680,1.0712,100000
2023-01-03,1.0712,1.0750,1.0695,1.0738,110000
2023-01-04,1.0738,1.0790,1.0725,1.0782,120000
2023-01-05,1.0782,1.0820,1.0760,1.0805,105000
2023-01-06,1.0805,1.0835,1.0780,1.0828,98000
2023-01-09,1.0828,1.0850,1.0795,1.0810,102000
2023-01-10,1.0810,1.0840,1.0785,1.0832,108000
2023-01-11,1.0832,1.0870,1.0820,1.0865,115000
2023-01-12,1.0865,1.0890,1.0840,1.0880,99000
2023-01-13,1.0880,1.0915,1.0860,1.0902,101000
2023-01-16,1.0902,1.0930,1.0885,1.0910,95000
2023-01-17,1.0910,1.0950,1.0890,1.0942,112000
2023-01-18,1.0942,1.0980,1.0925,1.0968,118000
2023-01-19,1.0968,1.1005,1.0950,1.0995,123000
2023-01-20,1.0995,1.1020,1.0975,1.1008,99000
2023-01-23,1.1008,1.1040,1.0990,1.1025,101500
2023-01-24,1.1025,1.1065,1.1010,1.1052,110200
2023-01-25,1.1052,1.1080,1.1030,1.1070,107800
2023-01-26,1.1070,1.1100,1.1055,1.1093,109000
2023-01-27,1.1093,1.1120,1.1075,1.1115,111000
